step,loss,learning_rate,gpu_memory_mb,time_per_step_ms
0,,5e-05,73.865234375,5235.3880405426025
1,,5e-05,73.865234375,13.717412948608398
2,,5e-05,73.865234375,13.202190399169922
3,,5e-05,73.865234375,12.241363525390625
4,,5e-05,73.865234375,13.490915298461914
5,,5e-05,73.865234375,12.98379898071289
6,,5e-05,73.865234375,13.105392456054688
7,,5e-05,73.865234375,19.42610740661621
8,,5e-05,73.865234375,16.83974266052246
9,,5e-05,73.865234375,12.442827224731445
10,,5e-05,73.865234375,15.35940170288086
