dataset,gate_value,ari,nmi,n_clusters,n_hgnn_clusters,n_uf_clusters,pct_uf_routed,avg_confidence,p25_confidence,threshold_used,latency_s,git_hash
UNSW-NB15,0.4,0.01861182670372869,0.11547675313415726,21,3,18,0.1714,0.8025901317596436,0.8916012644767761,0.10000000000000002,12.02395050006453,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
UNSW-NB15,0.5,0.020600668343386714,0.1153678685144568,21,3,18,0.1799,0.8025901317596436,0.8916012644767761,0.10000000000000002,11.901884600054473,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
UNSW-NB15,0.55,0.017995618502377183,0.10194092486254408,20,3,17,0.2036,0.8025901317596436,0.8916012644767761,0.1,11.951633799937554,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
UNSW-NB15,0.6,0.018294689722336204,0.10189921277630733,18,3,15,0.2049,0.8025901317596436,0.8916012644767761,0.10000000000000002,12.097500500036404,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
UNSW-NB15,0.65,0.019729262690687293,0.09838841685868872,18,3,15,0.2087,0.8025901317596436,0.8916012644767761,0.09999999999999999,11.961277299909852,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
UNSW-NB15,0.7,0.021825613651466257,0.10592466365209438,20,3,17,0.214,0.8025901317596436,0.8916012644767761,0.1,11.908785499981605,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
UNSW-NB15,0.75,0.022015640271766238,0.10012769887784204,17,3,14,0.2189,0.8025901317596436,0.8916012644767761,0.09999999999999999,12.02146099996753,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
UNSW-NB15,0.8,0.026156873550376575,0.10724393344433307,20,3,17,0.2269,0.8025901317596436,0.8916012644767761,0.09999999999999999,11.943271599942818,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
UNSW-NB15,0.9,0.0291470586954549,0.10453916573200435,22,3,19,0.2525,0.8025901317596436,0.8916012644767761,0.09999999999999998,12.442919599940069,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
TON_IoT,0.4,0.0,0.0,1,1,0,0.0,1.0,1.0,,9.798655699938536,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
