dataset,gate_value,ari,nmi,n_clusters,n_hgnn_clusters,n_uf_clusters,n_hgnn_noise_points,singleton_fraction,mean_uf_cluster_size,pct_uf_routed,avg_confidence,p25_confidence,threshold_used,use_uf_refinement,noise_point_strategy,skip_gate_sweep,latency_s,git_hash
UNSW-NB15_no_uf,0.4,0.40417142379343274,0.5140496289213494,6,6,0,1321,,,0.0,0.7894246578216553,0.8255156874656677,,False,zero,False,19.572169399936683,5e568a20a301ade3d9c3911e1b091cb5799313ea
UNSW-NB15_soft_fixed,0.4,0.36751105175582305,0.45635705459800885,549,6,543,0,1.0,1.0,0.0543,0.8487002849578857,0.8255156874656677,0.6487002849578857,True,soft_assign,False,18.603108700015582,5e568a20a301ade3d9c3911e1b091cb5799313ea
UNSW-NB15_soft_fixed,0.5,0.3479730926008287,0.42390706795106586,1951,5,1946,0,1.0,1.0,0.1946,0.8487002849578857,0.8255156874656677,0.6487002849578857,True,soft_assign,False,19.53817360009998,5e568a20a301ade3d9c3911e1b091cb5799313ea
UNSW-NB15_soft_fixed,0.55,0.3442432129321929,0.41838481669937067,2079,5,2074,0,1.0,1.0,0.2074,0.8551895618438721,0.8255156874656677,0.6551895618438721,True,soft_assign,False,19.015050699934363,5e568a20a301ade3d9c3911e1b091cb5799313ea
UNSW-NB15_soft_fixed,0.6,0.3428643680166543,0.41542891432386325,2129,5,2124,0,1.0,1.0,0.2124,0.8616253137588501,0.8255156874656677,0.66162531375885,True,soft_assign,False,19.20882659999188,5e568a20a301ade3d9c3911e1b091cb5799313ea
UNSW-NB15_soft_fixed,0.65,0.34497286359940366,0.41549350525795925,2187,5,2182,0,1.0,1.0,0.2182,0.8680257797241211,0.8255156874656677,0.6680257797241209,True,soft_assign,False,19.11701130005531,5e568a20a301ade3d9c3911e1b091cb5799313ea
UNSW-NB15_soft_fixed,0.7,0.3399146365708518,0.4120496077756713,2276,5,2271,0,1.0,1.0,0.2271,0.8744044899940491,0.8255156874656677,0.674404489994049,True,soft_assign,False,19.647618899936788,5e568a20a301ade3d9c3911e1b091cb5799313ea
UNSW-NB15_soft_fixed,0.75,0.33940279302485044,0.41123718067129683,2334,5,2329,0,1.0,1.0,0.2329,0.8807421922683716,0.8255156874656677,0.6807421922683715,True,soft_assign,False,19.464317100006156,5e568a20a301ade3d9c3911e1b091cb5799313ea
UNSW-NB15_soft_fixed,0.8,0.3389104931197462,0.4083048752436582,2437,5,2432,0,1.0,1.0,0.2432,0.886989951133728,0.8255156874656677,0.686989951133728,True,soft_assign,False,19.503583200043067,5e568a20a301ade3d9c3911e1b091cb5799313ea
UNSW-NB15_soft_fixed,0.9,0.3335294626264444,0.402613053136878,2663,5,2658,0,1.0,1.0,0.2658,0.8989554643630981,0.8500000238418579,0.698955464363098,True,soft_assign,False,19.1540837000357,5e568a20a301ade3d9c3911e1b091cb5799313ea
UNSW-NB15_baseline,0.4,0.35405328563885535,0.4290653172066053,1855,5,1850,1321,1.0,1.0,0.185,0.7894246578216553,0.8255156874656677,0.5894246578216553,True,zero,False,19.227582500083372,5e568a20a301ade3d9c3911e1b091cb5799313ea
