dataset,gate_value,ari,nmi,n_clusters,n_hgnn_clusters,n_uf_clusters,pct_uf_routed,avg_confidence,p25_confidence,threshold_used,skip_gate_sweep,latency_s,git_hash
UNSW-NB15,0.4,0.35405321847626775,0.42896272299148014,1853,5,1848,0.185,0.7894246578216553,0.8255156874656677,0.5894246578216553,False,11.829664599965326,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
UNSW-NB15,0.5,0.3479730589926581,0.42385655016440055,1950,5,1945,0.1946,0.7894246578216553,0.8255156874656677,0.5894246578216552,False,11.750774799962528,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
UNSW-NB15,0.55,0.3442432483187223,0.4183484540907321,2077,5,2072,0.2074,0.7894246578216553,0.8255156874656677,0.5894246578216553,False,11.871801899978891,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
UNSW-NB15,0.6,0.3428642664179678,0.41528155840439224,2126,5,2121,0.2124,0.7894246578216553,0.8255156874656677,0.5894246578216552,False,11.605915699969046,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
UNSW-NB15,0.65,0.3449728309332619,0.4153606526340283,2183,5,2178,0.2182,0.7894246578216553,0.8255156874656677,0.5894246578216551,False,11.775040399981663,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
UNSW-NB15,0.7,0.33991446492364963,0.41181072788493783,2271,5,2266,0.2271,0.7894246578216553,0.8255156874656677,0.5894246578216552,False,11.673158299992792,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
UNSW-NB15,0.75,0.33940262049696307,0.41100083134542903,2329,5,2324,0.2329,0.7894246578216553,0.8255156874656677,0.5894246578216552,False,11.987280700006522,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
UNSW-NB15,0.8,0.33891035368858907,0.4081191513414656,2433,5,2428,0.2432,0.7894246578216553,0.8255156874656677,0.5894246578216552,False,11.760208599967882,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
UNSW-NB15,0.9,0.3335292499993661,0.40234468759138525,2657,5,2652,0.2658,0.7894246578216553,0.8255156874656677,0.5894246578216551,False,11.8899914000649,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
TON_IoT,0.5,0.0,0.0,1,1,0,0.0,1.0,1.0,,True,9.670468299998902,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
Linux_APT,0.4,-0.0033297181073952864,0.0401846823678529,2,1,1,0.4745762711864407,0.5166873335838318,0.0,0.3166873335838318,False,0.047511099954135716,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
Linux_APT,0.5,-0.0033297181073952864,0.0401846823678529,2,1,1,0.4745762711864407,0.5166873335838318,0.0,0.3166873335838318,False,0.04468290007207543,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
Linux_APT,0.55,-0.0033297181073952864,0.0401846823678529,2,1,1,0.4745762711864407,0.5166873335838318,0.0,0.3166873335838318,False,0.041540300007909536,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
Linux_APT,0.6,0.006999606763664962,0.04534950375687588,2,1,1,0.4915254237288136,0.5166873335838318,0.0,0.31668733358383183,False,0.046355600003153086,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
Linux_APT,0.65,0.006999606763664962,0.04534950375687588,2,1,1,0.4915254237288136,0.5166873335838318,0.0,0.31668733358383183,False,0.04486200003884733,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
Linux_APT,0.7,0.006999606763664962,0.04534950375687588,2,1,1,0.4915254237288136,0.5166873335838318,0.0,0.31668733358383183,False,0.04299960006028414,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
Linux_APT,0.75,0.018600078647267006,0.050903740703627645,2,1,1,0.5084745762711864,0.5166873335838318,0.0,0.31668733358383183,False,0.04873529996257275,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
Linux_APT,0.8,0.018600078647267006,0.050903740703627645,2,1,1,0.5084745762711864,0.5166873335838318,0.0,0.31668733358383183,False,0.04715930006932467,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
Linux_APT,0.9,0.018600078647267006,0.050903740703627645,2,1,1,0.5084745762711864,0.5166873335838318,0.0,0.31668733358383183,False,0.04930810001678765,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
NSL-KDD,0.4,0.19946596994867233,0.27407914058912675,94,4,90,0.193,0.7827173471450806,0.8422449827194214,0.5827173471450806,False,16.262914899969473,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
NSL-KDD,0.5,0.187114525980257,0.25664958144704775,100,4,96,0.2109,0.7827173471450806,0.8422449827194214,0.5827173471450805,False,16.144621700048447,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
NSL-KDD,0.55,0.18084715974544344,0.24901576022838898,116,4,112,0.2196,0.7827173471450806,0.8422449827194214,0.5827173471450804,False,16.119509399984963,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
NSL-KDD,0.6,0.17573196661015014,0.23958504505002756,106,4,102,0.2277,0.7827173471450806,0.8422449827194214,0.5827173471450805,False,16.14654069999233,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
NSL-KDD,0.65,0.17419004090418086,0.2390222677837624,110,4,106,0.2292,0.7827173471450806,0.8422449827194214,0.5827173471450805,False,16.613126800046302,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
NSL-KDD,0.7,0.17342227146281192,0.24091770513833535,116,4,112,0.2352,0.7827173471450806,0.8422449827194214,0.5827173471450805,False,20.93701109988615,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
NSL-KDD,0.75,0.17365836250278796,0.23846873859105566,130,4,126,0.239,0.7827173471450806,0.8422449827194214,0.5827173471450805,False,20.750290299998596,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
NSL-KDD,0.8,0.17160718380652282,0.23746726199979593,88,4,84,0.2441,0.7827173471450806,0.8422449827194214,0.5827173471450805,False,19.302591899991967,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
NSL-KDD,0.9,0.17589626164515829,0.23839775410009617,112,4,108,0.2633,0.7827173471450806,0.8422449827194214,0.5827173471450805,False,19.191760000074282,1f6029c58e4d537b766f7ea5fa5517b2886f4dd7
