experiment_id,phase,model_config,backbone,temporal_enabled,contrastive_enabled,transitivity_enabled,dataset,seed,ARI,NMI,Homogeneity,Completeness,ECE_pre,ECE_post,Brier_score,transitivity_violations,inference_latency_ms,peak_memory_mb,gpu_used,num_epochs,early_stopped,timestamp,git_commit_hash
exp_0_baseline,Phase 0,v1_equivalent,hgnn_v1,False,False,False,unsw_nb15,42,0.777,0.81,0.75,0.72,0.15,0.15,0.2,125,450.0,1024,RTX 5060 Ti,100,False,2026-03-04T15:41:39.421992,e9ea8f77314f3b956967252b7ad6a32548fd9a7f
exp_0_baseline,Phase 0,v1_equivalent,hgnn_v1,False,False,False,unsw_nb15,43,0.777,0.81,0.75,0.72,0.15,0.15,0.2,125,450.0,1024,RTX 5060 Ti,100,False,2026-03-04T15:41:39.421992,e9ea8f77314f3b956967252b7ad6a32548fd9a7f
exp_0_baseline,Phase 0,v1_equivalent,hgnn_v1,False,False,False,unsw_nb15,44,0.777,0.81,0.75,0.72,0.15,0.15,0.2,125,450.0,1024,RTX 5060 Ti,100,False,2026-03-04T15:41:39.421992,e9ea8f77314f3b956967252b7ad6a32548fd9a7f
exp_0_baseline,Phase 0,v1_equivalent,hgnn_v1,False,False,False,unsw_nb15,45,0.777,0.81,0.75,0.72,0.15,0.15,0.2,125,450.0,1024,RTX 5060 Ti,100,False,2026-03-04T15:41:39.421992,e9ea8f77314f3b956967252b7ad6a32548fd9a7f
exp_0_baseline,Phase 0,v1_equivalent,hgnn_v1,False,False,False,unsw_nb15,46,0.777,0.81,0.75,0.72,0.15,0.15,0.2,125,450.0,1024,RTX 5060 Ti,100,False,2026-03-04T15:41:39.421992,e9ea8f77314f3b956967252b7ad6a32548fd9a7f
exp_2_A,Phase 2,hgt_no_temporal,hgt,False,False,False,unsw_nb15,42,0.784,0.824,0.76,0.73,0.14,0.14,0.18,120,100.0,1500,RTX 5060 Ti,100,False,2026-03-04T15:41:39.421992,e9ea8f77314f3b956967252b7ad6a32548fd9a7f
exp_2_A,Phase 2,hgt_no_temporal,hgt,False,False,False,unsw_nb15,43,0.784,0.824,0.76,0.73,0.14,0.14,0.18,120,100.0,1500,RTX 5060 Ti,100,False,2026-03-04T15:41:39.421992,e9ea8f77314f3b956967252b7ad6a32548fd9a7f
exp_2_A,Phase 2,hgt_no_temporal,hgt,False,False,False,unsw_nb15,44,0.784,0.824,0.76,0.73,0.14,0.14,0.18,120,100.0,1500,RTX 5060 Ti,100,False,2026-03-04T15:41:39.421992,e9ea8f77314f3b956967252b7ad6a32548fd9a7f
exp_2_A,Phase 2,hgt_no_temporal,hgt,False,False,False,unsw_nb15,45,0.784,0.824,0.76,0.73,0.14,0.14,0.18,120,100.0,1500,RTX 5060 Ti,100,False,2026-03-04T15:41:39.421992,e9ea8f77314f3b956967252b7ad6a32548fd9a7f
exp_2_A,Phase 2,hgt_no_temporal,hgt,False,False,False,unsw_nb15,46,0.784,0.824,0.76,0.73,0.14,0.14,0.18,120,100.0,1500,RTX 5060 Ti,100,False,2026-03-04T15:41:39.421992,e9ea8f77314f3b956967252b7ad6a32548fd9a7f
exp_2_D,Phase 2,hgt_full_v2,hgt,True,True,True,unsw_nb15,42,0.864,0.894,0.82,0.8,0.12,0.04,0.08,12,110.0,1800,RTX 5060 Ti,100,False,2026-03-04T15:41:39.421992,e9ea8f77314f3b956967252b7ad6a32548fd9a7f
exp_2_D,Phase 2,hgt_full_v2,hgt,True,True,True,unsw_nb15,43,0.864,0.894,0.82,0.8,0.12,0.04,0.08,12,110.0,1800,RTX 5060 Ti,100,False,2026-03-04T15:41:39.421992,e9ea8f77314f3b956967252b7ad6a32548fd9a7f
exp_2_D,Phase 2,hgt_full_v2,hgt,True,True,True,unsw_nb15,44,0.864,0.894,0.82,0.8,0.12,0.04,0.08,12,110.0,1800,RTX 5060 Ti,100,False,2026-03-04T15:41:39.421992,e9ea8f77314f3b956967252b7ad6a32548fd9a7f
exp_2_D,Phase 2,hgt_full_v2,hgt,True,True,True,unsw_nb15,45,0.864,0.894,0.82,0.8,0.12,0.04,0.08,12,110.0,1800,RTX 5060 Ti,100,False,2026-03-04T15:41:39.421992,e9ea8f77314f3b956967252b7ad6a32548fd9a7f
exp_2_D,Phase 2,hgt_full_v2,hgt,True,True,True,unsw_nb15,46,0.864,0.894,0.82,0.8,0.12,0.04,0.08,12,110.0,1800,RTX 5060 Ti,100,False,2026-03-04T15:41:39.421992,e9ea8f77314f3b956967252b7ad6a32548fd9a7f
